City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,guerrero negro,27.9769,-114.0611,17.78,40,0,3.94,MX,1674157136
248,bairnsdale,-37.8333,147.6167,9.47,94,2,1.17,AU,1674157208
249,kushima,31.4583,131.2333,5.54,81,6,3.28,JP,1674157098
250,ardakan,32.31,54.0175,0.87,75,1,1.62,IR,1674157208
251,hay river,60.8156,-115.7999,-5.01,74,20,5.14,CA,1674157208
252,tiznit,29.5833,-9.5,14.08,47,0,1.23,MA,1674157209
253,manokwari,-0.8667,134.0833,25.31,80,100,2.64,ID,1674157137
254,karratha,-20.7377,116.8463,27.44,73,100,1.6,AU,1674157209
255,chuy,-33.6971,-53.4616,25.82,55,88,6.23,UY,1674157209
256,tasiilaq,65.6145,-37.6368,-12.91,96,100,0.65,GL,1674157210
257,kulhudhuffushi,6.6221,73.07,26.29,71,4,5.42,MV,1674157210
258,saint-pierre,-21.3393,55.4781,24.82,94,100,6.17,RE,1674157210
259,abnub,27.2696,31.1511,15.12,27,0,2.68,EG,1674157210
260,maceio,-9.6658,-35.7353,28.69,74,75,6.69,BR,1674157211
261,paamiut,61.994,-49.6678,-7.68,75,100,10.01,GL,1674157211
262,tanggu,39.0211,117.6469,-5.02,27,0,6.9,CN,1674157211
263,temyasovo,52.9933,58.1014,-12.34,55,3,0.64,RU,1674157213
264,pine bluff,34.2284,-92.0032,12.96,47,0,5.66,US,1674157214
265,coahuayana,18.7333,-103.6833,28.61,52,45,3.53,MX,1674157215
266,manono,-7.3,27.4167,20.59,91,93,1.3,CD,1674157118
267,wewak,-3.5534,143.6268,25.09,87,100,2.06,PG,1674157216
268,santiago,-33.4569,-70.6483,29.19,42,0,6.69,CL,1674156837
269,pevek,69.7008,170.3133,-28.55,94,100,7.35,RU,1674157217
270,valdosta,30.8327,-83.2785,24.96,76,75,5.66,US,1674157218
271,alenquer,-1.9417,-54.7383,28.77,60,29,2.66,BR,1674157171
272,tura,25.5198,90.2201,11.64,65,0,1.49,IN,1674157219
273,tower,51.9167,-8.6,2.47,93,20,3.09,IE,1674157219
274,lagoa,39.05,-27.9833,13.94,74,45,5.44,PT,1674157219
275,benghazi,32.1167,20.0667,16.5,44,0,7.16,LY,1674157220
